iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.12675384199,0.128267941585,0.128697474604,0.477333333333,0.413580246914,0.463203463203,0.420118343195,0.306569343066,0.403846153846,0.00361758
10,0.12678707396,0.12833457227,0.128657026604,0.48,0.41975308642,0.463203463203,0.421364985163,0.308823529412,0.403846153846,0.011166968
20,0.119714606382,0.121607304844,0.122195869146,0.576,0.549382716049,0.545454545455,0.504672897196,0.442748091603,0.450261780105,0.019788855
30,0.117927983359,0.120729266338,0.120296592412,0.605333333333,0.561728395062,0.580086580087,0.522580645161,0.458015267176,0.475675675676,0.027789346
40,0.117341139417,0.12078444885,0.119169335119,0.6,0.543209876543,0.597402597403,0.516129032258,0.430769230769,0.502673796791,0.033682279
50,0.116511598422,0.11940059484,0.118219624536,0.616,0.586419753086,0.597402597403,0.52,0.446280991736,0.468571428571,0.039467657
60,0.116535840882,0.120271120817,0.118360905932,0.624,0.574074074074,0.575757575758,0.518771331058,0.420168067227,0.43023255814,0.045447733
70,0.112762719974,0.118490342906,0.114933837209,0.68,0.592592592593,0.614718614719,0.538461538462,0.365384615385,0.418300653595,0.05143836
80,0.112125403844,0.11799838571,0.114157538261,0.688,0.592592592593,0.619047619048,0.533864541833,0.352941176471,0.421052631579,0.056677572
90,0.111542726302,0.117020614358,0.113297452067,0.669333333333,0.598765432099,0.627705627706,0.507936507937,0.368932038835,0.434210526316,0.061694465
100,0.110962196866,0.116817053411,0.113040419106,0.674666666667,0.586419753086,0.640692640693,0.491666666667,0.336633663366,0.442953020134,0.066958399
110,0.106517146764,0.112395940474,0.108624645928,0.701333333333,0.641975308642,0.683982683983,0.48623853211,0.369565217391,0.459259259259,0.071416631
120,0.105925950815,0.11241794451,0.108504810298,0.701333333333,0.648148148148,0.679653679654,0.521367521368,0.387096774194,0.471428571429,0.075385832
130,0.105497265911,0.111408181937,0.108352680831,0.704,0.654320987654,0.670995670996,0.519480519481,0.391304347826,0.457142857143,0.079778303
140,0.104899667305,0.110437995311,0.107969201043,0.704,0.648148148148,0.670995670996,0.519480519481,0.373626373626,0.449275362319,0.083943294
150,0.105108440415,0.111493725179,0.10845973271,0.698666666667,0.62962962963,0.662337662338,0.51914893617,0.375,0.450704225352,0.088163809
160,0.103052847143,0.108017175458,0.107080835285,0.712,0.66049382716,0.666666666667,0.546218487395,0.432989690722,0.468965517241,0.092147192
170,0.10120705609,0.107438166138,0.105956096321,0.712,0.66049382716,0.670995670996,0.517857142857,0.38202247191,0.449275362319,0.09616389
180,0.100345084885,0.106686449283,0.106595500716,0.712,0.635802469136,0.65367965368,0.526315789474,0.39175257732,0.459459459459,0.100587591
190,0.0996430486186,0.105476947665,0.106757372337,0.736,0.666666666667,0.679653679654,0.539534883721,0.413043478261,0.471428571429,0.104907082
200,0.0994111894824,0.105237009615,0.106240413174,0.730666666667,0.691358024691,0.675324675325,0.512077294686,0.444444444444,0.452554744526,0.109160829
210,0.0994725806383,0.105551470611,0.106658105482,0.725333333333,0.666666666667,0.670995670996,0.520930232558,0.425531914894,0.464788732394,0.113477591
220,0.0987269106794,0.104319994582,0.105229636313,0.730666666667,0.703703703704,0.679653679654,0.521327014218,0.466666666667,0.455882352941,0.11794413
