iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.17497482716,0.178465429999,0.173429720987,0.352,0.37037037037,0.380952380952,0.503067484663,0.514285714286,0.524916943522,0.000497065
10,0.177145162289,0.180330735492,0.176546802939,0.349333333333,0.37037037037,0.380952380952,0.497942386831,0.514285714286,0.521739130435,0.004312384
20,0.173711819357,0.177962611113,0.173519692175,0.357333333333,0.358024691358,0.354978354978,0.51509054326,0.509433962264,0.514657980456,0.008499836
30,0.167789592932,0.171800091389,0.167817878798,0.354666666667,0.351851851852,0.363636363636,0.51012145749,0.497607655502,0.514851485149,0.012650188
40,0.164705543016,0.169519163481,0.165070842092,0.349333333333,0.351851851852,0.359307359307,0.506072874494,0.497607655502,0.509933774834,0.016426781
50,0.161668875431,0.167518801172,0.161867658176,0.346666666667,0.37037037037,0.359307359307,0.498977505112,0.504854368932,0.509933774834,0.020358472
60,0.15826117323,0.163111564019,0.15957844109,0.354666666667,0.358024691358,0.350649350649,0.497925311203,0.48,0.5,0.02431027
70,0.15631270438,0.161846298015,0.156838057546,0.349333333333,0.364197530864,0.354978354978,0.489539748954,0.471794871795,0.494915254237,0.027974346
80,0.145552835206,0.152381288336,0.14638658772,0.368,0.333333333333,0.385281385281,0.444964871194,0.4,0.470149253731,0.032218168
90,0.138106655523,0.145240677328,0.140531919466,0.432,0.401234567901,0.4329004329,0.443864229765,0.382165605096,0.460905349794,0.035930315
100,0.124688989914,0.13217567642,0.126543527838,0.536,0.469135802469,0.510822510823,0.350746268657,0.232142857143,0.361581920904,0.039608346
110,0.120242746318,0.127248086506,0.120434958919,0.586666666667,0.530864197531,0.562770562771,0.396887159533,0.283018867925,0.402366863905,0.043209377
120,0.11675782042,0.124203551208,0.117320174071,0.618666666667,0.549382716049,0.619047619048,0.406639004149,0.291262135922,0.435897435897,0.046879108
130,0.116016722448,0.123492875379,0.116221132513,0.618666666667,0.567901234568,0.614718614719,0.425702811245,0.363636363636,0.447204968944,0.050487356
140,0.112451817609,0.121246124243,0.113927105598,0.637333333333,0.604938271605,0.606060606061,0.423728813559,0.384615384615,0.372413793103,0.054371911
150,0.110965772947,0.119006572218,0.112764399723,0.656,0.617283950617,0.614718614719,0.441558441558,0.392156862745,0.386206896552,0.058222756
160,0.110726330459,0.118907685783,0.112918492827,0.661333333333,0.604938271605,0.619047619048,0.450216450216,0.34693877551,0.388888888889,0.061799306
170,0.113798445097,0.122410207134,0.115481760706,0.656,0.58024691358,0.619047619048,0.382775119617,0.209302325581,0.323076923077,0.065653161
180,0.109087538984,0.117436042875,0.110931962826,0.669333333333,0.617283950617,0.636363636364,0.420560747664,0.354166666667,0.373134328358,0.069374425
190,0.108156963263,0.116226508601,0.110177827277,0.677333333333,0.617283950617,0.636363636364,0.42654028436,0.354166666667,0.363636363636,0.073018515
200,0.107069888904,0.114337882604,0.108808286812,0.672,0.62962962963,0.65367965368,0.4,0.347826086957,0.384615384615,0.076733634
210,0.106645275817,0.113633951497,0.10886687704,0.677333333333,0.641975308642,0.640692640693,0.4039408867,0.355555555556,0.356589147287,0.080785128
220,0.104998074936,0.111344994449,0.106774931576,0.701333333333,0.679012345679,0.675324675325,0.481481481481,0.469387755102,0.452554744526,0.084593851
230,0.104315065035,0.111300613093,0.107404325662,0.714666666667,0.691358024691,0.692640692641,0.528634361233,0.519230769231,0.510344827586,0.088276074
240,0.103650684502,0.110201175915,0.107792909369,0.712,0.685185185185,0.675324675325,0.504587155963,0.504854368932,0.475524475524,0.091931083
250,0.103641198873,0.110322563535,0.107442847778,0.712,0.691358024691,0.670995670996,0.504587155963,0.509803921569,0.464788732394,0.095881741
260,0.103167031024,0.109082472559,0.106886327286,0.730666666667,0.679012345679,0.714285714286,0.512077294686,0.434782608696,0.484375,0.099478144
270,0.101003100343,0.105083277946,0.104219091627,0.741333333333,0.70987654321,0.731601731602,0.57268722467,0.543689320388,0.544117647059,0.103087216
280,0.100181365636,0.104862706219,0.103944701959,0.744,0.728395061728,0.727272727273,0.582608695652,0.56,0.540145985401,0.106945431
290,0.100061056966,0.10470502678,0.103815012314,0.744,0.734567901235,0.727272727273,0.582608695652,0.565656565657,0.540145985401,0.110673842
300,0.0996836611822,0.101212669553,0.103237653616,0.701333333333,0.716049382716,0.662337662338,0.325301204819,0.361111111111,0.22,0.114452771
310,0.0957234955349,0.0970745693164,0.100624436543,0.714666666667,0.759259259259,0.675324675325,0.439790575916,0.561797752809,0.347826086957,0.117969544
320,0.0950704833496,0.0970789061969,0.0998543596463,0.725333333333,0.771604938272,0.683982683983,0.437158469945,0.564705882353,0.353982300885,0.122162806
330,0.0947982458819,0.0968536327019,0.0998015010486,0.714666666667,0.753086419753,0.688311688312,0.408839779006,0.512195121951,0.357142857143,0.125973173
340,0.0931918922313,0.0934789618798,0.0981751759505,0.730666666667,0.740740740741,0.701298701299,0.465608465608,0.54347826087,0.429752066116,0.129565048
350,0.0924213638965,0.0950013980295,0.0971514126327,0.736,0.734567901235,0.731601731602,0.517073170732,0.547368421053,0.537313432836,0.133414366
360,0.0912504822584,0.0929983430431,0.0947076348396,0.728,0.740740740741,0.722943722944,0.49,0.553191489362,0.483870967742,0.137345978
370,0.0915320751807,0.0926249498126,0.0935449927599,0.738666666667,0.728395061728,0.74025974026,0.558558558559,0.584905660377,0.558823529412,0.140930869
380,0.0889218814999,0.0901852386534,0.0922586409467,0.744,0.753086419753,0.727272727273,0.52,0.574468085106,0.496,0.145007111
390,0.0886234661682,0.0901430279474,0.0923933648579,0.738666666667,0.746913580247,0.731601731602,0.519607843137,0.568421052632,0.515625,0.148714892
