iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.123552597406,0.120599541224,0.13416271058,0.674666666667,0.679012345679,0.645021645022,0.2375,0.257142857143,0.108695652174,0.017056964
10,0.0598478588428,0.0871499678843,0.0819152521986,0.837333333333,0.759259259259,0.735930735931,0.740425531915,0.666666666667,0.596026490066,0.044999342
20,0.0499780271348,0.0902015944711,0.0841841313977,0.866666666667,0.728395061728,0.757575757576,0.8,0.639344262295,0.631578947368,0.062405319
30,0.0421853079034,0.0933804778019,0.0919316559124,0.893333333333,0.728395061728,0.74025974026,0.84,0.627118644068,0.61038961039,0.078370288
40,0.0375790568757,0.0981270138432,0.0995807707373,0.898666666667,0.728395061728,0.718614718615,0.848,0.639344262295,0.591194968553,0.095885633
50,0.0336311456325,0.10313207142,0.103332672491,0.904,0.716049382716,0.731601731602,0.857142857143,0.616666666667,0.6125,0.11133497
60,0.0307226077583,0.105380516245,0.106361469735,0.914666666667,0.728395061728,0.731601731602,0.874015748031,0.627118644068,0.6125,0.125135673
70,0.0278987768124,0.10959644603,0.108612598173,0.922666666667,0.722222222222,0.727272727273,0.883534136546,0.615384615385,0.603773584906,0.140160997
80,0.0252575382443,0.110539097714,0.112681817817,0.933333333333,0.716049382716,0.731601731602,0.900398406375,0.603448275862,0.607594936709,0.152017292
90,0.0229130818698,0.111298322065,0.115821239686,0.949333333333,0.716049382716,0.735930735931,0.926070038911,0.610169491525,0.625766871166,0.16333735
100,0.0208255930791,0.118726951275,0.11968401764,0.952,0.703703703704,0.714285714286,0.9296875,0.593220338983,0.582278481013,0.174847656
110,0.0186310041518,0.115564197974,0.123319188605,0.957333333333,0.722222222222,0.701298701299,0.9375,0.621848739496,0.566037735849,0.18615265
120,0.0163825630285,0.121564295617,0.124540758818,0.962666666667,0.70987654321,0.714285714286,0.946153846154,0.611570247934,0.59756097561,0.196729025
130,0.0152347828712,0.124122078418,0.121605270378,0.96,0.716049382716,0.722943722944,0.942084942085,0.616666666667,0.6,0.208134343
140,0.0133621483049,0.123518456465,0.121370901929,0.968,0.70987654321,0.714285714286,0.953488372093,0.605042016807,0.592592592593,0.219130472
150,0.0124971803704,0.122246708485,0.117970332887,0.965333333333,0.70987654321,0.735930735931,0.949416342412,0.598290598291,0.611464968153,0.229909172
160,0.0113637799643,0.12298538841,0.119851027944,0.968,0.70987654321,0.731601731602,0.953846153846,0.598290598291,0.607594936709,0.241073135
170,0.0103082243762,0.124576816555,0.119672090817,0.970666666667,0.703703703704,0.731601731602,0.95785440613,0.593220338983,0.6125,0.252516347
180,0.00976152285968,0.126816186002,0.121877230254,0.965333333333,0.697530864198,0.727272727273,0.949806949807,0.581196581197,0.608695652174,0.263644865
190,0.00888552668132,0.131523406492,0.12656468575,0.976,0.691358024691,0.718614718615,0.965250965251,0.576271186441,0.591194968553,0.275316691
200,0.00790998000144,0.130912060807,0.130722331646,0.981333333333,0.697530864198,0.709956709957,0.972762645914,0.558558558559,0.583850931677,0.286129345
210,0.00749693124985,0.131142110445,0.132420351386,0.986666666667,0.697530864198,0.705627705628,0.980694980695,0.558558558559,0.575,0.297289141
220,0.00684626185691,0.132155955096,0.133364044868,0.984,0.697530864198,0.705627705628,0.976923076923,0.558558558559,0.575,0.308382545
230,0.00630109219943,0.13273255226,0.132937584878,0.986666666667,0.691358024691,0.705627705628,0.980988593156,0.553571428571,0.575,0.319631035
