iterations,fitness,time,fevals
0,0.0215391250598,1.322619536,1000
10,0.0224399724682,2.866365306,2100
20,0.0221120906265,4.262157048,3200
30,0.0213467701261,5.663327622,4300
40,0.0221633488685,7.052577437,5400
50,0.0207662004442,8.425510576,6500
60,0.0213471229377,9.802701313,7600
70,0.0212153765383,11.197757009,8700
80,0.021323252792,12.603550484,9800
90,0.0212638668137,13.994726772,10900
100,0.0215718918887,15.444560623,12000
110,0.0218811602023,16.764434377,13100
120,0.0209025324637,18.10063387,14200
130,0.0228183490739,19.418463891,15300
140,0.021726663399,20.757185793,16400
150,0.022843253813,22.321091614,17500
160,0.0211422435735,23.785194818,18600
170,0.0227381911011,25.175577935,19700
180,0.0216453752438,26.559535157,20800
190,0.022126286922,27.953543657,21900
200,0.021134374123,29.317580273,23000
210,0.0209943633091,30.668784661,24100
220,0.0213755076767,32.013091448,25200
230,0.0223084211641,33.360582255,26300
240,0.0235687506832,34.711442821,27400
250,0.0225250281729,36.054128671,28500
260,0.0211084779185,37.408977645,29600
270,0.0222000734995,38.941132018,30700
280,0.0216603577041,40.286072513,31800
290,0.0213909142548,41.593342679,32900
300,0.0232195302573,42.980860438,34000
310,0.0220474309276,44.334541463,35100
320,0.0217718404952,45.645071267,36200
330,0.0228315557919,46.95891957,37300
340,0.0215205262276,48.358318192,38400
350,0.0219847230167,49.83790829,39500
360,0.0212596988892,51.225068674,40600
370,0.0207166226758,52.64673439,41700
380,0.0213037132422,54.087429469,42800
390,0.0212804614286,55.505789403,43900
400,0.0229046148079,56.879255903,45000
410,0.0219688430145,58.227671652,46100
420,0.0214273897206,59.563114525,47200
430,0.0213325762983,60.90377815,48300
440,0.0212319281468,62.237369236,49400
450,0.0230349613121,63.643540796,50500
460,0.0226622137135,64.994946422,51600
470,0.0202651986864,66.349278097,52700
480,0.0213321651789,68.198300505,53800
490,0.0214468558648,70.38970601,54900
500,0.0225525080909,71.869948854,56000
510,0.0217145318871,73.36992393,57100
520,0.0213667345915,75.204400392,58200
530,0.0217100606009,76.505484187,59300
540,0.022883656882,78.074797717,60400
550,0.0226403477121,80.05168183,61500
560,0.0220289438041,82.092538683,62600
570,0.0209907732671,83.504166685,63700
580,0.0221765882572,84.916714295,64800
590,0.0218033706721,86.538271987,65900
600,0.021930055577,88.46535925,67000
610,0.0210991900713,90.24753651,68100
620,0.0217773710534,91.97088388,69200
630,0.0215582334873,93.526524136,70300
640,0.0213804002873,94.86282582,71400
650,0.0220821855592,96.193485852,72500
660,0.0216558301275,97.516202078,73600
670,0.0219799551518,98.840892024,74700
680,0.0214143246845,100.174672622,75800
690,0.0220094444737,101.511473144,76900
700,0.0214374997067,102.828857225,78000
710,0.021809432575,104.146192785,79100
720,0.0215438814868,105.467416005,80200
730,0.0215489029508,106.779684454,81300
740,0.0209941841972,108.111311913,82400
750,0.0215936945742,109.426711372,83500
760,0.0225257575909,110.757812723,84600
770,0.0221954174098,112.110718979,85700
780,0.0213931097929,113.45639629,86800
790,0.022395097947,114.798788826,87900
800,0.0211986298522,116.136736109,89000
810,0.0220774268955,117.462399331,90100
820,0.0218502754473,118.777712884,91200
830,0.0215373835807,120.112156564,92300
840,0.0225114284495,121.434260988,93400
850,0.0209617980119,122.760416747,94500
860,0.0223930457125,124.092539314,95600
870,0.0209082292861,125.416143042,96700
880,0.0218332092886,127.440121843,97800
890,0.0217004589299,128.966728744,98900
900,0.0213957059727,130.961126375,100000
910,0.0215128016415,132.451942579,101100
920,0.0213544441445,133.762434178,102200
930,0.0229832720496,135.085704665,103300
940,0.0212412080705,136.403698351,104400
950,0.0209345319958,137.732237454,105500
960,0.0208927189506,139.071711379,106600
970,0.0215019409496,140.434950232,107700
980,0.0215737092776,141.960716207,108800
990,0.0210324059333,143.47466357,109900
1000,0.02189365587,144.841112055,111000
1010,0.0215165304114,146.197207872,112100
1020,0.0215387503806,147.559986896,113200
1030,0.0216875684888,149.148074143,114300
1040,0.0213344049977,151.08924346,115400
1050,0.021469549401,152.601279792,116500
1060,0.0229794262755,154.034576861,117600
1070,0.021443707401,155.999504275,118700
1080,0.0217713758099,157.319704721,119800
1090,0.0217622786503,158.64915805,120900
1100,0.0215260404611,159.977974295,122000
1110,0.0215553688025,161.313539032,123100
1120,0.0221404259372,162.643465022,124200
1130,0.0219884884303,163.964776102,125300
1140,0.0209759436827,165.852253996,126400
1150,0.0208596604944,167.796354615,127500
1160,0.0211655394541,169.123667412,128600
1170,0.0215729215532,170.454082706,129700
1180,0.0215452524114,171.787060168,130800
1190,0.0219204377805,173.128244891,131900
1200,0.0213617946368,174.442602671,133000
1210,0.0217999992904,175.755567965,134100
1220,0.0220872104606,177.088563996,135200
1230,0.0214731866938,178.405295615,136300
1240,0.021929889513,179.831417279,137400
1250,0.0211122633559,181.903168906,138500
1260,0.0225251033596,183.376510679,139600
1270,0.0217048677272,184.701406771,140700
1280,0.0216979166578,186.022235308,141800
1290,0.0211132030583,187.336167844,142900
1300,0.0210515688496,188.663123292,144000
1310,0.0230550195366,190.44999423,145100
1320,0.0213693252543,191.94814354,146200
1330,0.021616539985,193.834621078,147300
1340,0.0210385728239,196.328279146,148400
1350,0.0225742644533,198.413868272,149500
1360,0.0211882216378,200.383404155,150600
1370,0.0216158924079,201.98316535,151700
1380,0.0218650559195,203.552840727,152800
1390,0.0207878915449,205.446511236,153900
1400,0.0222545217964,206.923171583,155000
1410,0.0218965581034,208.251150396,156100
1420,0.0214521670983,209.647730017,157200
1430,0.0226490932219,211.077557116,158300
1440,0.0214661935403,212.497528234,159400
1450,0.0224541589035,213.953643289,160500
1460,0.0213238655298,215.379740081,161600
1470,0.0218333531529,216.773413008,162700
1480,0.0209029541132,218.170700159,163800
1490,0.0220489069963,219.604242363,164900
1500,0.0220464115556,221.090635007,166000
1510,0.0212671753712,222.393642403,167100
1520,0.0227018550034,223.781823827,168200
1530,0.0218567190595,225.208108447,169300
1540,0.0213986757187,226.628760471,170400
1550,0.0222515521633,228.053514643,171500
1560,0.0209002461847,229.394706756,172600
1570,0.0213656266469,230.971639746,173700
1580,0.0221344736213,232.584879581,174800
1590,0.0234098660177,234.921667641,175900
1600,0.0218802119794,236.593285159,177000
1610,0.0215949083464,238.675154615,178100
1620,0.0208722314037,240.384547967,179200
1630,0.0216294913963,241.825168224,180300
1640,0.0226330567927,243.529976217,181400
1650,0.0212824611964,246.145915835,182500
1660,0.0209196526856,247.762696606,183600
1670,0.0214331845145,249.673527412,184700
1680,0.0214439802223,251.425540222,185800
1690,0.0222877838044,252.839583924,186900
1700,0.021582048069,254.631276447,188000
1710,0.0209291203199,256.958748969,189100
1720,0.0217143980781,258.530007939,190200
1730,0.0210785678044,260.432367536,191300
1740,0.0217317662514,262.21476005,192400
1750,0.0214876719473,263.93816286,193500
1760,0.0225913790392,266.34690135,194600
1770,0.0215633951296,268.25180928,195700
1780,0.0206737407236,269.566577628,196800
1790,0.021662998745,270.882640744,197900
1800,0.0228043724967,272.203550904,199000
1810,0.0213082682908,273.524966402,200100
1820,0.0217588801182,275.058787179,201200
1830,0.0210586154007,276.555086308,202300
1840,0.0215830968507,277.988510248,203400
1850,0.0216036750409,279.341205365,204500
1860,0.0219183041727,280.690828117,205600
1870,0.0221705053275,282.037780004,206700
1880,0.0213241056179,283.678742308,207800
1890,0.0216943465463,285.572583273,208900
1900,0.0212019359637,287.351732762,210000
1910,0.0212206599119,288.760946269,211100
1920,0.0208046062182,290.137408265,212200
1930,0.0209072989021,291.561514749,213300
1940,0.0214731511089,293.089992269,214400
1950,0.0212395588023,294.455752343,215500
1960,0.0220066419696,295.821657503,216600
1970,0.0216082869805,297.185170479,217700
1980,0.0211431882065,298.577098069,218800
1990,0.0222921545559,299.97804464,219900
2000,0.0214646122816,301.367926204,221000
2010,0.0226952504771,302.72781473,222100
2020,0.0222443711885,304.127643671,223200
2030,0.0212425093834,305.515786577,224300
2040,0.0213497755416,306.893377716,225400
2050,0.0221954709974,308.281143745,226500
2060,0.0219144686135,309.669354466,227600
2070,0.0211549193873,311.039506826,228700
2080,0.0209542988679,312.456290781,229800
2090,0.0211537665102,313.827106794,230900
2100,0.0216173200398,315.406946696,232000
2110,0.0213701106163,316.841489779,233100
2120,0.0212454468767,318.371599732,234200
2130,0.0211039491576,320.376402227,235300
2140,0.0210066911752,322.23419654,236400
2150,0.0212773035291,324.089206296,237500
