iterations,fitness,time,fevals
0,24.0,0.075471824,1000
10,33.0,0.14620274,2100
20,38.0,0.203384303,3200
30,39.0,0.257343303,4300
40,40.0,0.312355615,5400
50,40.0,0.365528899,6500
60,40.0,0.422516852,7600
70,44.0,0.472853664,8700
80,41.0,0.523297066,9800
90,43.0,0.574226064,10900
100,40.0,0.626251109,12000
110,40.0,0.677484145,13100
120,40.0,0.729278116,14200
130,45.0,0.780483807,15300
140,39.0,0.830965469,16400
150,40.0,0.879995127,17500
160,42.0,0.930379948,18600
170,39.0,0.980635291,19700
180,39.0,1.032314226,20800
190,40.0,1.080951132,21900
200,40.0,1.131750378,23000
210,39.0,1.18192761,24100
220,40.0,1.231566205,25200
230,40.0,1.285487732,26300
240,44.0,1.34088902,27400
250,40.0,1.394659738,28500
260,40.0,1.450108554,29600
270,40.0,1.501952299,30700
280,38.0,1.55024832,31800
290,40.0,1.597881198,32900
300,40.0,1.648079543,34000
310,40.0,1.697543333,35100
320,41.0,1.749617892,36200
330,40.0,1.800108932,37300
340,41.0,1.851049824,38400
350,40.0,1.900135516,39500
360,40.0,1.950388941,40600
370,41.0,2.000182419,41700
380,42.0,2.050882653,42800
390,41.0,2.105213022,43900
400,41.0,2.157818786,45000
410,41.0,2.206005349,46100
420,40.0,2.256988336,47200
430,41.0,2.30832677,48300
440,44.0,2.36471496,49400
450,40.0,2.416468175,50500
460,40.0,2.468664759,51600
470,40.0,2.520965916,52700
480,42.0,2.571971518,53800
490,42.0,2.624119254,54900
500,41.0,2.675420141,56000
510,42.0,2.729647154,57100
520,46.0,2.782211796,58200
530,42.0,2.835663131,59300
540,42.0,2.886836526,60400
550,42.0,2.938009267,61500
560,44.0,2.99417744,62600
570,42.0,3.044986713,63700
580,42.0,3.095256777,64800
590,41.0,3.145019826,65900
600,42.0,3.194802068,67000
610,41.0,3.24953904,68100
620,42.0,3.299579176,69200
630,41.0,3.353147708,70300
640,42.0,3.407743923,71400
650,41.0,3.460465327,72500
660,42.0,3.515642667,73600
670,42.0,3.570423892,74700
680,42.0,3.622684589,75800
690,43.0,3.671691659,76900
700,41.0,3.720757028,78000
710,41.0,3.770800638,79100
720,41.0,3.819931409,80200
730,41.0,3.870316601,81300
740,41.0,3.919784067,82400
750,41.0,3.971335011,83500
760,43.0,4.022573187,84600
770,41.0,4.072212441,85700
