iterations,fitness,time,fevals
0,507.0,3.82329999999e-05,11
10,509.0,7.2546e-05,21
20,511.0,0.000142859,31
30,513.0,0.000174628,41
40,513.0,0.000215363,51
50,513.0,0.000294482,61
60,517.0,0.000360952,71
70,521.0,0.000439765,81
80,523.0,0.0004694,91
90,527.0,0.000502804,101
100,531.0,0.000527384,111
110,535.0,0.000587252,121
120,543.0,0.000691074,131
130,543.0,0.000791102,141
140,545.0,0.000861339,151
150,545.0,0.00091508,161
160,547.0,0.001032599,171
170,549.0,0.001225794,181
180,551.0,0.001298162,191
190,555.0,0.001341915,201
200,557.0,0.001380704,211
210,557.0,0.001411309,221
220,559.0,0.001436652,231
230,561.0,0.001467462,241
240,563.0,0.001499922,251
250,567.0,0.001533717,261
260,567.0,0.001560117,271
270,567.0,0.001584565,281
280,569.0,0.001609273,291
290,569.0,0.001634046,301
300,573.0,0.001671428,311
310,573.0,0.001729898,321
320,573.0,0.001755267,331
330,575.0,0.001781654,341
340,577.0,0.001810732,351
350,577.0,0.001844967,361
360,581.0,0.00187028,371
370,581.0,0.001898162,381
380,583.0,0.001925478,391
390,583.0,0.001950394,401
400,583.0,0.001984659,411
410,583.0,0.002008849,421
420,583.0,0.002033279,431
430,583.0,0.00205862,441
440,585.0,0.002120192,451
450,589.0,0.002176204,461
460,589.0,0.002247312,471
470,589.0,0.002271908,481
480,591.0,0.002296067,491
490,593.0,0.002320443,501
500,595.0,0.002344804,511
510,595.0,0.002429303,521
520,597.0,0.002503699,531
530,603.0,0.002567837,541
540,607.0,0.00263221,551
550,609.0,0.002676802,561
560,609.0,0.00271049,571
570,611.0,0.002735305,581
580,615.0,0.002759466,591
590,619.0,0.002785258,601
600,623.0,0.002816899,611
610,625.0,0.002878388,621
620,627.0,0.002909951,631
630,629.0,0.002934906,641
640,631.0,0.003031743,651
650,633.0,0.003160981,661
660,633.0,0.003310609,671
670,633.0,0.003365192,681
680,633.0,0.003395504,691
690,635.0,0.003425813,701
700,639.0,0.003452196,711
710,639.0,0.003478687,721
720,639.0,0.003517141,731
730,639.0,0.003548509,741
740,641.0,0.003577989,751
750,643.0,0.003606608,761
760,645.0,0.003632449,771
770,647.0,0.003662415,781
780,649.0,0.003695227,791
790,649.0,0.003727796,801
800,653.0,0.00375433,811
810,655.0,0.003780713,821
820,655.0,0.003865957,831
830,661.0,0.003923083,841
840,661.0,0.003987152,851
850,661.0,0.004017731,861
860,661.0,0.004045101,871
870,661.0,0.004069428,881
880,661.0,0.004096,891
890,662.0,0.004121121,901
900,662.0,0.004201905,911
910,664.0,0.004285748,921
920,666.0,0.004365203,931
930,666.0,0.004415385,941
940,666.0,0.004448374,951
950,666.0,0.00448636,961
960,666.0,0.004516921,971
970,666.0,0.004545631,981
980,668.0,0.004574245,991
990,670.0,0.004603272,1001
1000,672.0,0.004658063,1011
1010,672.0,0.004690394,1021
1020,672.0,0.004719517,1031
1030,674.0,0.004759425,1041
1040,676.0,0.004786795,1051
1050,676.0,0.004812688,1061
1060,676.0,0.004840258,1071
