iterations,fitness,time,fevals
0,555.0,9.368243861,1000
10,595.0,18.186341658,2100
20,653.0,26.211642441,3200
30,683.0,33.2888512,4300
40,705.0,40.038369067,5400
50,711.0,46.339385605,6500
60,715.0,52.661577393,7600
70,717.0,58.849695672,8700
80,717.0,65.093714333,9800
90,719.0,71.236437851,10900
100,721.0,77.366733705,12000
110,721.0,83.43867291,13100
120,725.0,89.566598242,14200
130,721.0,95.57532346,15300
140,723.0,101.634443633,16400
150,727.0,107.623067845,17500
160,723.0,113.690011181,18600
170,723.0,119.731923346,19700
180,727.0,125.691185074,20800
190,725.0,131.769060158,21900
200,727.0,137.862135119,23000
210,729.0,144.008718146,24100
220,725.0,150.079876752,25200
230,729.0,156.075701891,26300
240,727.0,162.117271377,27400
250,727.0,168.265961989,28500
260,729.0,174.475891809,29600
270,729.0,180.618112152,30700
280,729.0,186.648115785,31800
290,729.0,192.571593815,32900
300,729.0,198.561675928,34000
310,729.0,204.574335823,35100
320,729.0,210.520238797,36200
330,729.0,216.588917563,37300
340,731.0,222.656051927,38400
350,729.0,228.759416183,39500
360,729.0,234.78590524,40600
370,731.0,240.918090111,41700
380,735.0,246.988162174,42800
390,733.0,253.063052165,43900
400,733.0,259.149396492,45000
410,735.0,265.187085307,46100
420,735.0,271.203129073,47200
430,733.0,277.244104884,48300
440,735.0,283.240241273,49400
450,731.0,289.315081058,50500
460,733.0,295.4253601,51600
470,733.0,301.465037437,52700
480,733.0,307.425098825,53800
490,733.0,313.399784539,54900
500,735.0,319.436269466,56000
510,733.0,325.560564527,57100
520,735.0,331.73510773,58200
530,735.0,337.895466879,59300
540,735.0,344.034060136,60400
550,737.0,350.090749947,61500
560,735.0,356.101702612,62600
570,735.0,362.057661535,63700
580,739.0,367.958834501,64800
590,737.0,373.862772829,65900
600,739.0,379.925634283,67000
610,739.0,386.004305542,68100
620,737.0,392.004745599,69200
630,735.0,398.032196708,70300
640,739.0,404.179915748,71400
650,739.0,410.219577757,72500
660,737.0,416.18313076,73600
670,737.0,422.197739615,74700
680,735.0,428.072777516,75800
690,737.0,434.144601424,76900
700,737.0,440.294486001,78000
710,737.0,446.430092519,79100
720,737.0,452.436840405,80200
730,737.0,458.444859504,81300
740,739.0,464.499354405,82400
750,741.0,470.635103076,83500
760,741.0,476.795847418,84600
770,739.0,483.005047589,85700
780,739.0,488.966157044,86800
790,739.0,494.914542423,87900
800,741.0,500.904546868,89000
810,739.0,506.963206899,90100
820,739.0,512.97748825,91200
830,739.0,518.948175929,92300
840,741.0,525.011857703,93400
850,741.0,530.986035451,94500
860,743.0,537.023362975,95600
870,741.0,543.135737514,96700
880,741.0,549.103163507,97800
890,743.0,555.153115686,98900
900,745.0,561.174614673,100000
910,743.0,567.361209758,101100
920,743.0,573.418812331,102200
930,741.0,579.410957263,103300
940,743.0,585.367443329,104400
950,745.0,591.31455014,105500
