iterations,fitness,time,fevals
0,565.0,12.509618726,1000
10,621.0,23.474891748,2100
20,671.0,32.598864267,3200
30,703.0,40.580693158,4300
40,725.0,48.56376682,5400
50,729.0,55.914790967,6500
60,729.0,63.19704302,7600
70,733.0,70.456030096,8700
80,733.0,77.547088172,9800
90,733.0,84.605797968,10900
100,733.0,91.61924388,12000
110,733.0,98.535090049,13100
120,733.0,105.613204991,14200
130,733.0,112.502131661,15300
140,735.0,119.496833188,16400
150,741.0,126.467885432,17500
160,739.0,133.501444967,18600
170,741.0,140.509919376,19700
180,739.0,147.33072236,20800
190,739.0,154.516353573,21900
200,739.0,161.412632755,23000
210,739.0,168.295257416,24100
220,739.0,175.296777016,25200
230,741.0,182.340783683,26300
240,739.0,189.268696229,27400
250,739.0,196.154817769,28500
260,743.0,202.97045185,29600
270,739.0,210.053523931,30700
280,741.0,217.162446062,31800
290,739.0,223.978727261,32900
300,739.0,230.921173546,34000
310,741.0,237.955458292,35100
320,741.0,244.957712777,36200
330,741.0,251.789195523,37300
340,741.0,258.796919634,38400
350,741.0,265.675002474,39500
360,745.0,272.839198312,40600
370,747.0,280.001017353,41700
380,747.0,287.073062387,42800
390,747.0,293.961482184,43900
400,747.0,301.202972094,45000
410,745.0,308.063071727,46100
420,747.0,315.12504426,47200
430,745.0,321.981889219,48300
440,747.0,329.032490558,49400
450,751.0,335.940818758,50500
460,749.0,343.046968587,51600
470,749.0,350.052606671,52700
480,749.0,356.858900761,53800
490,749.0,363.894057579,54900
500,749.0,371.01322723,56000
510,749.0,377.818959759,57100
520,749.0,384.80711649,58200
530,749.0,391.541383764,59300
540,751.0,398.717580328,60400
550,749.0,405.463203994,61500
560,751.0,412.471075709,62600
570,753.0,419.481329194,63700
580,751.0,426.515800266,64800
590,749.0,433.348120251,65900
600,751.0,440.590339862,67000
610,755.0,447.530883179,68100
620,755.0,454.739116167,69200
630,753.0,461.715755739,70300
640,755.0,467.971782903,71400
650,755.0,473.799938866,72500
660,755.0,479.849896141,73600
670,755.0,486.194009461,74700
680,753.0,492.965087979,75800
