iterations,fitness,time,fevals
0,550.0,9.398260853,1000
10,561.0,19.003098318,2100
20,578.0,28.218483057,3200
30,612.0,37.199029424,4300
40,631.0,46.458226127,5400
50,651.0,55.289311538,6500
60,681.0,63.688422835,7600
70,710.0,71.721971238,8700
80,712.0,79.627723932,9800
90,734.0,87.397502921,10900
100,743.0,95.171271053,12000
110,751.0,102.709638111,13100
120,746.0,110.062170273,14200
130,746.0,117.5125535,15300
140,750.0,124.901354316,16400
150,764.0,132.110015385,17500
160,768.0,139.509658894,18600
170,750.0,146.833219395,19700
180,758.0,154.118227147,20800
190,768.0,161.284273257,21900
200,762.0,168.240182584,23000
210,774.0,175.305256454,24100
220,764.0,182.409442633,25200
230,782.0,189.48698216,26300
240,776.0,196.501153146,27400
250,778.0,203.52831712,28500
260,776.0,210.595071855,29600
270,768.0,217.826948672,30700
280,764.0,225.099443924,31800
290,774.0,232.201372515,32900
300,778.0,239.53166286,34000
310,768.0,246.657789968,35100
320,758.0,253.824426837,36200
330,778.0,261.069419656,37300
340,772.0,268.323013919,38400
350,766.0,275.574759839,39500
360,781.0,282.831573479,40600
370,796.0,289.970107083,41700
380,800.0,297.116797976,42800
390,782.0,304.321473958,43900
400,786.0,311.553313133,45000
410,784.0,318.754871922,46100
420,788.0,326.154798926,47200
430,792.0,333.182719086,48300
440,792.0,340.168572792,49400
450,788.0,347.159609373,50500
460,784.0,354.240624344,51600
470,782.0,361.485043313,52700
480,782.0,368.644151747,53800
490,780.0,375.8706614,54900
500,782.0,382.991059934,56000
510,778.0,390.097006597,57100
520,778.0,397.194951172,58200
530,784.0,404.305117153,59300
540,785.0,411.340433886,60400
550,794.0,418.567804961,61500
560,792.0,425.63338571,62600
570,786.0,432.989503105,63700
580,786.0,440.129019926,64800
590,790.0,447.231978477,65900
600,790.0,454.319073238,67000
610,800.0,461.506693737,68100
620,790.0,468.527361135,69200
630,795.0,475.625857683,70300
640,797.0,482.6950728,71400
650,780.0,489.847537425,72500
660,800.0,496.939679152,73600
670,786.0,504.020965746,74700
680,779.0,511.165896164,75800
690,794.0,518.265150422,76900
700,783.0,525.276699233,78000
710,792.0,532.339948901,79100
720,779.0,539.472826207,80200
730,797.0,546.664939616,81300
740,784.0,553.683441232,82400
750,786.0,560.772200531,83500
760,784.0,568.012702447,84600
770,784.0,575.187705137,85700
780,782.0,582.266130224,86800
790,790.0,589.230842715,87900
800,786.0,596.36330201,89000
810,780.0,603.496348368,90100
820,795.0,610.617347571,91200
830,796.0,617.750739474,92300
840,808.0,624.807119287,93400
850,790.0,631.934297577,94500
860,796.0,639.215869615,95600
870,790.0,646.373134316,96700
880,798.0,653.513745402,97800
890,806.0,660.802743537,98900
900,786.0,668.026401222,100000
910,788.0,675.327517974,101100
920,792.0,682.618416863,102200
930,802.0,689.716661133,103300
940,792.0,696.813926575,104400
950,798.0,703.960492604,105500
960,799.0,711.057593768,106600
970,806.0,718.364071331,107700
980,792.0,725.691101242,108800
990,796.0,732.945527837,109900
1000,790.0,740.207015141,111000
1010,802.0,747.53391758,112100
1020,812.0,754.93116969,113200
1030,814.0,762.020591763,114300
1040,802.0,768.99002264,115400
1050,808.0,776.16813672,116500
1060,806.0,783.379217319,117600
1070,806.0,790.539568849,118700
1080,798.0,797.819606318,119800
1090,806.0,804.921587467,120900
1100,796.0,812.276451281,122000
1110,803.0,819.6544563,123100
1120,808.0,827.073212026,124200
1130,800.0,834.32651799,125300
1140,810.0,841.513611166,126400
1150,808.0,848.735516783,127500
1160,804.0,855.98665373,128600
1170,800.0,863.222785008,129700
1180,806.0,870.343909092,130800
1190,816.0,877.570914115,131900
1200,806.0,884.762214019,133000
1210,808.0,891.732652261,134100
1220,810.0,898.792673174,135200
1230,812.0,905.899658814,136300
1240,800.0,913.058232036,137400
1250,806.0,920.29054646,138500
1260,808.0,927.553240336,139600
1270,815.0,934.82178253,140700
1280,799.0,942.102576657,141800
1290,817.0,949.115764126,142900
1300,815.0,956.253441059,144000
1310,817.0,963.405512481,145100
1320,809.0,970.956691708,146200
1330,825.0,978.136889515,147300
1340,821.0,985.33422626,148400
1350,807.0,992.383946853,149500
1360,815.0,999.469869173,150600
1370,815.0,1006.47640316,151700
1380,807.0,1013.73311075,152800
1390,805.0,1021.02922295,153900
1400,821.0,1028.24773447,155000
1410,807.0,1035.48559389,156100
1420,803.0,1042.60721625,157200
1430,805.0,1049.75837196,158300
1440,809.0,1057.03592596,159400
1450,823.0,1064.35991408,160500
1460,819.0,1071.47743747,161600
1470,805.0,1078.65160478,162700
1480,811.0,1085.85498211,163800
1490,813.0,1092.87965344,164900
1500,811.0,1099.97097108,166000
1510,811.0,1107.23206408,167100
1520,807.0,1114.59802519,168200
1530,813.0,1121.74073208,169300
1540,807.0,1128.76320478,170400
1550,804.0,1135.99453591,171500
1560,799.0,1143.31436959,172600
1570,817.0,1150.39379318,173700
1580,801.0,1157.56458972,174800
1590,803.0,1164.67989849,175900
1600,809.0,1171.86919358,177000
1610,803.0,1179.08135117,178100
1620,804.0,1186.36449491,179200
1630,799.0,1193.65411628,180300
1640,809.0,1200.76510509,181400
1650,801.0,1208.14789804,182500
1660,807.0,1215.30829311,183600
1670,797.0,1222.58491121,184700
1680,805.0,1229.7095235,185800
1690,801.0,1237.13894501,186900
1700,801.0,1244.30144542,188000
1710,803.0,1251.34088363,189100
1720,805.0,1258.43619312,190200
1730,809.0,1265.73043298,191300
1740,809.0,1272.99744348,192400
1750,807.0,1280.24678568,193500
1760,805.0,1287.45714858,194600
1770,806.0,1294.68132311,195700
1780,797.0,1301.93907922,196800
1790,797.0,1309.14062193,197900
1800,813.0,1316.35135051,199000
1810,799.0,1323.65539909,200100
1820,801.0,1331.07585431,201200
1830,803.0,1338.16975351,202300
1840,795.0,1345.40311615,203400
1850,804.0,1352.5748985,204500
1860,791.0,1359.81385752,205600
1870,797.0,1366.85893645,206700
1880,793.0,1374.06756122,207800
1890,795.0,1381.41329609,208900
1900,807.0,1388.69315552,210000
1910,801.0,1395.82415468,211100
1920,807.0,1402.90285203,212200
1930,821.0,1409.98074829,213300
1940,817.0,1417.05810018,214400
1950,819.0,1424.12896952,215500
1960,803.0,1431.20811371,216600
1970,819.0,1438.28622924,217700
1980,801.0,1445.6058149,218800
1990,793.0,1452.97231575,219900
2000,799.0,1460.40935675,221000
2010,807.0,1467.53314155,222100
2020,799.0,1474.76089528,223200
2030,795.0,1481.88254248,224300
2040,811.0,1489.02528261,225400
2050,809.0,1496.3035965,226500
2060,795.0,1503.68013117,227600
2070,793.0,1510.84267062,228700
