iterations,fitness,time,fevals
0,539.0,0.005093211,580
10,534.0,0.009244677,1073
20,535.0,0.011715677,1544
30,537.0,0.01386337,2022
40,535.0,0.015793887,2506
50,543.0,0.017588516,2991
60,541.0,0.019573481,3488
70,541.0,0.022017437,3959
80,546.0,0.02534188,4433
90,550.0,0.026999142,4908
100,546.0,0.028595926,5378
110,552.0,0.030396195,5865
120,564.0,0.032134918,6343
130,556.0,0.035651004,6832
140,554.0,0.037525575,7319
150,546.0,0.041202718,7791
160,548.0,0.043739739,8276
170,548.0,0.045504827,8757
180,550.0,0.04865597,9251
190,546.0,0.050371337,9736
200,548.0,0.052114334,10224
210,548.0,0.053744698,10705
220,552.0,0.055622247,11183
230,552.0,0.057932475,11658
240,550.0,0.061105612,12127
250,554.0,0.062917094,12612
260,556.0,0.064491249,13097
270,558.0,0.067238287,13565
280,554.0,0.068819938,14049
290,556.0,0.070498063,14539
300,556.0,0.072076061,15024
310,556.0,0.073777755,15497
320,558.0,0.075874919,15979
330,558.0,0.079560063,16468
340,562.0,0.081239019,16954
350,558.0,0.082810168,17451
360,560.0,0.084413561,17939
370,562.0,0.086076113,18413
380,560.0,0.08779922,18899
390,564.0,0.090991883,19367
400,566.0,0.09276033,19838
410,566.0,0.095045186,20321
420,568.0,0.09893395,20814
430,564.0,0.100594248,21295
440,562.0,0.102359519,21786
450,564.0,0.10529385,22264
460,560.0,0.106957136,22748
470,562.0,0.108604025,23230
480,562.0,0.110297658,23713
490,564.0,0.112038465,24186
500,564.0,0.11414167,24669
510,564.0,0.118038977,25159
520,562.0,0.119612907,25646
530,562.0,0.121327406,26128
540,564.0,0.122906904,26613
550,560.0,0.127150924,27094
560,562.0,0.129008354,27580
570,562.0,0.130561024,28064
580,562.0,0.133650437,28546
590,560.0,0.135362872,29014
600,564.0,0.136966292,29490
610,566.0,0.138956695,29978
620,566.0,0.142171296,30465
630,566.0,0.143883731,30949
640,570.0,0.146640519,31441
650,572.0,0.148486343,31923
660,568.0,0.150074677,32395
670,568.0,0.151662562,32873
680,568.0,0.153264834,33366
690,568.0,0.15490614,33844
700,566.0,0.156611813,34319
710,568.0,0.158843087,34808
720,566.0,0.163009444,35289
730,568.0,0.164573988,35770
740,566.0,0.166138613,36244
750,564.0,0.167698824,36727
760,560.0,0.16970233,37196
770,562.0,0.171352599,37676
780,562.0,0.174332318,38154
790,566.0,0.176254406,38643
800,566.0,0.178304821,39121
810,562.0,0.181801462,39596
820,562.0,0.184036593,40076
830,566.0,0.18580204,40563
840,568.0,0.189193058,41056
850,564.0,0.190779866,41536
860,568.0,0.192376366,42028
870,568.0,0.194034126,42506
880,572.0,0.198637412,42984
890,572.0,0.200499113,43459
900,570.0,0.202980661,43940
910,574.0,0.204976594,44426
920,574.0,0.20663412,44903
930,574.0,0.208517907,45366
940,576.0,0.210089305,45832
950,580.0,0.211834499,46311
960,574.0,0.214135436,46799
970,568.0,0.217978981,47285
980,572.0,0.219775189,47757
990,578.0,0.221525913,48229
1000,576.0,0.22312876,48718
1010,578.0,0.224907128,49192
1020,578.0,0.226581067,49661
1030,580.0,0.229935048,50158
1040,582.0,0.231914053,50639
1050,578.0,0.234404675,51113
1060,582.0,0.237928425,51595
1070,584.0,0.239667029,52080
1080,582.0,0.241601807,52566
1090,580.0,0.244787467,53057
1100,578.0,0.24634299,53534
1110,576.0,0.248595442,54011
1120,580.0,0.250981169,54499
1130,576.0,0.255762777,54982
1140,578.0,0.261253405,55465
1150,582.0,0.263008093,55953
1160,578.0,0.264584121,56434
1170,584.0,0.266281232,56910
1180,584.0,0.267915592,57395
1190,584.0,0.269985185,57880
1200,582.0,0.273035966,58353
1210,582.0,0.275190628,58830
1220,582.0,0.276756933,59307
1230,582.0,0.278319316,59780
1240,581.0,0.27990298,60268
1250,578.0,0.282145532,60736
1260,578.0,0.28431074,61237
1270,578.0,0.286460178,61723
1280,574.0,0.288666973,62201
1290,574.0,0.290953406,62679
1300,574.0,0.295357937,63164
1310,576.0,0.297261952,63651
1320,580.0,0.300310687,64117
1330,576.0,0.302179372,64603
1340,572.0,0.303752651,65081
1350,576.0,0.305436868,65563
1360,572.0,0.306999955,66033
1370,574.0,0.3086827,66521
1380,570.0,0.310365283,67009
1390,572.0,0.3138939,67485
1400,574.0,0.315752242,67967
1410,574.0,0.317336427,68448
1420,576.0,0.318936947,68933
1430,576.0,0.320595978,69418
1440,576.0,0.322518489,69899
1450,578.0,0.324274532,70382
1460,578.0,0.327693279,70870
1470,580.0,0.329553753,71361
1480,578.0,0.331721537,71834
1490,580.0,0.336126614,72310
1500,576.0,0.338272905,72801
1510,578.0,0.340797782,73278
1520,582.0,0.342901638,73744
1530,580.0,0.344523133,74230
1540,580.0,0.346223077,74721
1550,588.0,0.347898409,75214
1560,588.0,0.349711444,75696
1570,590.0,0.351943313,76189
1580,584.0,0.356154112,76678
1590,588.0,0.357722599,77165
1600,586.0,0.359287514,77647
1610,582.0,0.360866547,78141
1620,586.0,0.362617039,78612
1630,590.0,0.364148977,79094
1640,584.0,0.36651737,79578
1650,584.0,0.370191556,80065
1660,586.0,0.371873143,80551
1670,588.0,0.375335034,81023
1680,588.0,0.377418627,81507
1690,584.0,0.379193794,81987
1700,586.0,0.380826969,82468
1710,586.0,0.383621981,82947
1720,586.0,0.388505586,83427
1730,590.0,0.391724068,83915
1740,588.0,0.393539098,84393
1750,588.0,0.396106785,84871
1760,590.0,0.398064499,85348
1770,594.0,0.399669919,85841
1780,596.0,0.401361618,86321
1790,592.0,0.402930817,86812
1800,592.0,0.40454038,87294
1810,594.0,0.406930539,87764
1820,592.0,0.411192226,88250
1830,594.0,0.412766855,88739
1840,590.0,0.414461806,89220
1850,594.0,0.416037156,89709
1860,592.0,0.417663736,90189
1870,594.0,0.419309855,90671
1880,596.0,0.42173673,91149
1890,600.0,0.423366876,91629
1900,598.0,0.426177844,92111
1910,602.0,0.428603731,92577
1920,604.0,0.432608629,93043
1930,606.0,0.434539321,93533
1940,606.0,0.436320226,94006
1950,596.0,0.439522775,94490
1960,596.0,0.441244741,94963
1970,594.0,0.442942561,95433
1980,596.0,0.445029452,95903
1990,596.0,0.449472478,96390
2000,598.0,0.451507282,96874
2010,604.0,0.453178838,97340
2020,604.0,0.456069693,97832
2030,606.0,0.457732778,98313
2040,598.0,0.459426755,98797
2050,598.0,0.461063196,99292
2060,602.0,0.46299495,99780
2070,600.0,0.465644309,100258
2080,600.0,0.469295685,100740
2090,606.0,0.470924446,101223
2100,600.0,0.472538071,101712
2110,602.0,0.474117984,102188
2120,601.0,0.475999812,102667
2130,602.0,0.477823472,103159
2140,606.0,0.479556075,103648
2150,608.0,0.482757211,104134
2160,604.0,0.485034454,104625
2170,604.0,0.48938496,105105
2180,602.0,0.491008253,105578
2190,612.0,0.492765785,106062
2200,612.0,0.495590072,106541
2210,612.0,0.497430196,107020
2220,606.0,0.499681941,107511
2230,606.0,0.503747003,107988
2240,608.0,0.505635063,108482
2250,608.0,0.50733493,108956
2260,606.0,0.510784652,109445
2270,606.0,0.512374983,109942
2280,610.0,0.513942747,110432
2290,610.0,0.515513129,110907
2300,608.0,0.517101886,111384
2310,608.0,0.520602482,111871
2320,606.0,0.522419508,112358
2330,602.0,0.524489346,112836
2340,604.0,0.527537577,113329
2350,608.0,0.529323941,113819
2360,602.0,0.531000377,114306
2370,600.0,0.532598486,114792
2380,606.0,0.534251002,115271
2390,606.0,0.536002132,115751
2400,606.0,0.538549782,116244
2410,602.0,0.540292009,116728
2420,608.0,0.542097243,117217
2430,608.0,0.544207666,117693
2440,606.0,0.549038023,118167
2450,606.0,0.550833874,118663
2460,608.0,0.552676658,119143
2470,606.0,0.555086936,119618
2480,602.0,0.556674305,120096
2490,604.0,0.558277023,120580
2500,602.0,0.559953772,121065
2510,608.0,0.561757567,121566
2520,610.0,0.563887153,122060
2530,612.0,0.566183883,122550
2540,606.0,0.568874042,123025
2550,604.0,0.570525455,123506
2560,606.0,0.572092286,123988
2570,610.0,0.573660253,124467
2580,606.0,0.575526719,124954
2590,606.0,0.577399178,125421
2600,600.0,0.57933411,125909
2610,602.0,0.581828979,126387
2620,600.0,0.583676237,126869
2630,602.0,0.585631496,127342
2640,604.0,0.588685746,127824
2650,604.0,0.590429586,128306
2660,600.0,0.592102449,128795
2670,598.0,0.594925661,129287
2680,596.0,0.596642914,129770
2690,594.0,0.598804919,130257
2700,594.0,0.601698081,130745
2710,594.0,0.604192195,131222
2720,592.0,0.605886406,131710
2730,592.0,0.609096289,132191
2740,598.0,0.610926105,132666
2750,592.0,0.612681193,133152
2760,594.0,0.614924952,133625
2770,598.0,0.618948469,134119
2780,598.0,0.620756808,134593
2790,596.0,0.622903513,135070
2800,598.0,0.62500258,135552
2810,594.0,0.626588386,136035
2820,590.0,0.628207794,136517
2830,588.0,0.62978514,136996
2840,590.0,0.631563283,137475
2850,588.0,0.633780318,137950
2860,596.0,0.637780424,138430
2870,592.0,0.639377349,138899
2880,594.0,0.641089297,139370
2890,594.0,0.645390052,139855
2900,594.0,0.647082755,140334
2910,596.0,0.650266767,140807
2920,597.0,0.652268782,141281
2930,595.0,0.654502985,141754
2940,597.0,0.658650901,142250
2950,599.0,0.660463982,142734
2960,596.0,0.662304738,143212
2970,596.0,0.666181698,143694
2980,598.0,0.667814642,144164
