iterations,fitness,time,fevals
0,546.0,11.14376513,1000
10,567.0,21.740672163,2100
20,597.0,32.530617119,3200
30,637.0,42.629997233,4300
40,654.0,52.403183447,5400
50,690.0,61.709832342,6500
60,710.0,70.866807929,7600
70,710.0,80.105952008,8700
80,746.0,89.257757799,9800
90,728.0,98.291959961,10900
100,746.0,107.546243865,12000
110,756.0,117.349405896,13100
120,752.0,126.039731684,14200
130,770.0,134.492096804,15300
140,774.0,142.919970828,16400
150,768.0,151.525684041,17500
160,788.0,159.815316414,18600
170,782.0,168.12156636,19700
180,790.0,176.446696295,20800
190,784.0,184.741104288,21900
200,776.0,192.874950151,23000
210,772.0,201.87135201,24100
220,784.0,211.749301671,25200
230,786.0,224.480794627,26300
240,794.0,233.980002693,27400
250,786.0,242.682257727,28500
260,790.0,251.603318331,29600
270,800.0,261.763436684,30700
280,796.0,271.225599001,31800
290,788.0,280.966932397,32900
300,798.0,289.133891345,34000
310,790.0,297.36575154,35100
320,790.0,305.818299683,36200
330,794.0,314.392014175,37300
340,794.0,322.449566784,38400
350,794.0,330.9936715,39500
360,780.0,339.44709473,40600
370,794.0,347.508255589,41700
380,790.0,355.930654503,42800
390,802.0,363.907198424,43900
400,798.0,371.833688903,45000
410,796.0,380.027314745,46100
420,808.0,387.996726789,47200
430,802.0,396.076972149,48300
440,808.0,403.948268188,49400
450,794.0,412.172136793,50500
460,802.0,419.994014585,51600
470,806.0,427.898875589,52700
480,808.0,436.028059235,53800
490,800.0,444.380024908,54900
500,802.0,452.826260934,56000
510,792.0,461.131609241,57100
520,806.0,469.34477968,58200
530,810.0,477.371414536,59300
540,806.0,485.80500423,60400
550,798.0,494.011053636,61500
560,802.0,502.238716359,62600
570,796.0,510.696448409,63700
580,810.0,519.20855974,64800
590,804.0,527.511679136,65900
600,818.0,535.774372155,67000
610,806.0,544.173825013,68100
620,816.0,552.079069236,69200
630,810.0,560.441884548,70300
640,810.0,568.571826088,71400
650,812.0,576.757822358,72500
